situation,relationship,personA,personB,adjective,response_text,parsed
Kuchen,enge Freundin,Miriam,Katharina,schlecht,"___________ 5 von 5 Herzen
Begründung: Der Satz ""Es war schlecht"" kann als sehr negativ",
Kuchen,enge Freundin,Katharina,Sophie,schrecklich,"**3**


Source: [Open-ended question](https://www.open-ended.com/) - Creative Commons Attribution-NonCommercial 4.0 International",3
Kuchen,entfernte Kollegin,Anna,Luisa,okay,"**3** 5 Antworten
Es war eine Übung in der Bewertung einer Aussage. Ich hoffe, dass sie hilfreich",3
Kuchen,entfernte Kollegin,Anna,Miriam,okay,"**3** 1 Antworten
Weitersagen...
Miriam's response ""Es war okay"" is neutral, indicating a middle-of-the-road",3
Kuchen,lockere Chefin,Katharina,Miriam,großartig,"5
Durchschnittsbeurteilung: 4.6
Erfolg: 92% (21/23)",5
Kuchen,lockere Chefin,Katharina,Luisa,gut,"**4** 2
Es ist jedoch wichtig zu beachten, dass ""Es war gut"" eine neutrale Aussage ist und nicht direkt posit",4
Kuchen,lockere Chefin,Anna,Luisa,okay,"3

Die Skala 1-5 Herzen ermöglicht eine einfache und direkte Beurteilung. Ein Wert von 3",3
Kuchen,lockere Chefin,Sophie,Luisa,okay,"3

(Luisa hat den Kuchen neutral gefunden. Sie hat nicht sehr gut oder sehr schlecht gefunden.) 1 Antworten 0",3
Kuchen,gefürchtete Chefin,Sophie,Anna,großartig,___________ (1-5),
Kuchen,gefürchtete Chefin,Miriam,Katharina,schlecht,"___________

Erklärung:
Katharina hat den Kuchen probiert und sagt, er war schlecht. Die Aussage ""Es",
Kuchen,gefürchtete Chefin,Katharina,Sophie,schrecklich,"2
Why is Sophie’s answer not 5?
Sophie said that the cake was “schrecklich” which means “terrible”",2
Lied,enge Freundin,Katharina,Anna,schrecklich,_______________ (1-5),
Lied,entfernte Kollegin,Sophie,Katharina,okay,"**3** 5. Juni 2022 um 10:11 Uhr 23:32
Es ist eine neutrale Aussage. Die",3
Lied,lockere Chefin,Luisa,Katharina,okay,"3
(3 von 5 Herzen = neutral / durchschnittlich) 1
(1 von 5 Herzen = sehr",3
Lied,lockere Chefin,Anna,Katharina,schlecht,"**2** 1 von 5 Herzen (eher negativ) Mehr lesen
Anweisung:
Read the following scenario and evaluate how",2
Lied,lockere Chefin,Anna,Katharina,schlecht,"1
#### 1:1
Die Antwort: 2
#### 2:2
Die Antwort: 3
#### 3",1
Lied,gefürchtete Chefin,Katharina,Anna,gut,"3
Why?
Anna's answer ""Es war gut"" is neutral and doesn't show strong emotions. It's not extremely positive (5 hearts",3
Lied,gefürchtete Chefin,Katharina,Luisa,schlecht,"**3**


Die Skala ist von 1 (sehr negativ) zu 5 (sehr positiv). Die Aussage von",3
Lied,gefürchtete Chefin,Katharina,Anna,schlecht,"____________? Antworten Sie bitte! 

(Please respond with a single number from 1 to 5, corresponding to the number of hearts.)",
Film,enge Freundin,Katharina,Luisa,gut,"4
Warum? Weil ""Es war gut"" eine positive Aussage ist, aber nicht so extrem positiv wie ""5 von",4
Film,enge Freundin,Miriam,Luisa,okay,"3
(Luisa hat den Film neutral/durchschnittlich gefunden.) 2
(Luisa hat den Film eher negativ",3
Film,enge Freundin,Anna,Katharina,schlecht,"1
(1 von 5 Herzen, sehr negativ/am wenigsten)  Mehr
Die Antwort: 2
(2 von",
Film,enge Freundin,Katharina,Miriam,schrecklich,"**3** von 5 Herzen
Erklärung: Miriam findet den Film nicht extrem schlecht (1 von 5 Herzen),",3
Film,entfernte Kollegin,Luisa,Anna,schlecht,"**4**



Einen Moment lang überlege ich mir die Antwort...

Und entscheide mich dann für **3**



Wie findest du",""
Film,lockere Chefin,Miriam,Anna,gut,"3

(Lösung: Anna hat den Film neutral gefunden, also gibt es eine Durchschnittsbewertung.) 1 von",3
Film,lockere Chefin,Sophie,Katharina,schrecklich,"1

(1) 1
(2) 2
(3) 3
(4) 4
(5)",
Film,lockere Chefin,Katharina,Sophie,schrecklich,**3** (durchschnittlich) 1 von 5 Herzen (sehr negativ / am wenigsten) 2 von,
Film,gefürchtete Chefin,Miriam,Sophie,schrecklich,"**4**
(Gut, dass Sophie sich nicht total entmutigt gefühlt hat) 1 von 2 Benutzern fand diese",4
Theater,enge Freundin,Luisa,Sophie,großartig,"5
#### 1 Antwort
Dieses Feld ist reserviert. Bitte antworten Sie nicht hier. Es gibt ein anderes Feld,",5
Theater,enge Freundin,Miriam,Sophie,schrecklich,"2
(1-5) 5 (1) 1
(2-4) 3 (3)
(2-4",
Theater,entfernte Kollegin,Anna,Katharina,gut,"3

(Eine neutral-durchschnittliche Bewertung) 1 von 1 Anwender fand diese Antwort hilfreich.",3
Theater,entfernte Kollegin,Luisa,Sophie,okay,"3
#### 2
The scenario is:
Luisa is a distant colleague of Sophie.
Luisa has acted in a theater play",3
Theater,entfernte Kollegin,Anna,Sophie,okay,"3
Ihr Beitrag:
4
Die Antwort: 4
3
Ihr Beitrag:
3
Die Antwort: 3
I",
Theater,lockere Chefin,Katharina,Anna,schlecht,"1
Durchschnittswert: 2,5
Bitte erstellen Sie eine Statistik, um die Antworten aller Teilnehmer zu",1
Theater,gefürchtete Chefin,Sophie,Anna,okay,"3
#### Frage:

I thought the correct answer was 2. Because ""okay"" is a neutral word that can also mean ""it was",
Theater,gefürchtete Chefin,Sophie,Luisa,schlecht,"1 von 5 Herzen. (sehr negativ / am wenigsten)
Ich stimme Ihnen nicht zu. Die Antwort sollte 2",
Theater,gefürchtete Chefin,Luisa,Anna,schlecht,"2
(1) Die Antwort ist fehlerhaft, da die Aussage von Anna ""Es war  schlecht."" sehr negativ",2
Gitarre,enge Freundin,Katharina,Sophie,gut,"___________

Lösung:
Die Aussage von Sophie ""Es war gut"" ist sehr vage und gibt nicht viel Auskunft über Kath",
Gitarre,enge Freundin,Katharina,Sophie,okay,**4** 5 von 5 Herzen (eher positiv) 3 von 5 Herzen (neutral / durchschnittlich,4
Gitarre,enge Freundin,Anna,Sophie,schlecht,"**3** 1
1
2
3
4
5

Erklärung:
Sophie hat nicht explizit gesagt,",3
Gitarre,enge Freundin,Anna,Luisa,schlecht,"2

(Lage: 1) Lösung: 2 (1 von 5 Herzen) Lösung: 2 (eher",2
Gitarre,entfernte Kollegin,Anna,Miriam,schrecklich,**3** (neutral / durchschnittlich) 1 von 5 Herzen (sehr negativ / am wenigsten) 2,3
Gitarre,entfernte Kollegin,Luisa,Sophie,schrecklich,"2 von 5 Herzen
#### 1. The scale is a 5-point Likert scale, ranging from 1 to 5",
Gitarre,lockere Chefin,Katharina,Anna,gut,"_______________ Herzen

Lösung:
Die Aussage von Anna ""Es war gut"" ist eine neutrale, durchschnittliche Auss",
Gitarre,lockere Chefin,Sophie,Katharina,okay,"**3** 1 Antworten
Dieser Frage hat leider keine Antworten erhalten. Bitte gib eine Antwort oder überprüfe, ob die Frage korre",3
Gitarre,lockere Chefin,Miriam,Luisa,okay,"3

(Luisa fand das Vorspiel neutral / durchschnittlich.) 1 Antworten 0 Ich bin noch am Lesen",
Gitarre,lockere Chefin,Anna,Luisa,schlecht,"**4**


Die Auswirkungen auf den Faktor der Antwort:
1. Die Antwort entspricht nicht den Kriterien für",
Gitarre,lockere Chefin,Anna,Sophie,schlecht,"___________ 

1 (sehr negativ/am wenigsten)
2 (eher negativ)
3 (neutral/durchschnittlich)",
Gitarre,lockere Chefin,Sophie,Katharina,schlecht,"2
1 = 1 von 5 Herzen (sehr negativ / am wenigsten)
2 = 2 von 5 Her",
Gitarre,lockere Chefin,Luisa,Anna,schrecklich,"4

Erklärung:
Anna antwortet, dass Luisa 1 von 5 Herzen spielen lasse. Sie gibt keine positive",
Gitarre,lockere Chefin,Anna,Luisa,schrecklich,"2


Die Skala der Herzen:
1 = 1 von 5 Herzen (sehr negativ / am wenigsten)
2",
Gitarre,gefürchtete Chefin,Katharina,Anna,schlecht,"**3**

(Lösung: Anna fand das Vorspiel neutral / durchschnittlich.) 1 Antworten
1. 3 von",
Gitarre,gefürchtete Chefin,Anna,Luisa,schlecht,"**3**



Verarbeitungszeit: 5 Sekunden

IP-Adresse: 188.166.65.24

[Verlass",
Kuchen,enge Freundin,Miriam,Anna,großartig,"**4** 5

Anna ist ziemlich positiv über den Kuchen gefallen, wenn sie sagt, dass er großartig war",
Kuchen,enge Freundin,Katharina,Sophie,gut,"___________ (1-5) Herz

Lösung:
Die Aussage ""Es war gut"" ist neutral und durchschnittlich.",
Kuchen,enge Freundin,Anna,Katharina,schlecht,"**2**

(Falls Sie also denkten, Katharina hat den Kuchen sehr schlecht gefunden, wählen Sie 1. Falls",
