situation,relationship,personA,personB,response_text,state
Kuchen,Enge Freundin,Miriam,Katharina,"schrecklich

Katharina fand den Kuchen nur 1 von 5 Herzen, was bedeutet, dass sie den",1
Kuchen,Enge Freundin,Sophie,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Enge Freundin,Luisa,Sophie,"schrecklich

Die Bewertung von Sophie mit 1 von 5 Herzen deutet auf eine sehr negative Meinung hin. Daher",1
Kuchen,Enge Freundin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Enge Freundin,Anna,Luisa,"schrecklich

Luisa fand den Kuchen mit 1 von 5 Herzen, was einen sehr niedrigen Bewertung",1
Kuchen,Enge Freundin,Luisa,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",1
Kuchen,Enge Freundin,Luisa,Miriam,"schrecklich

Miriam sagt: \""Es war ""schrecklich"" – das Adjektiv, das am besten zur Bewertung von",1
Kuchen,Enge Freundin,Sophie,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Enge Freundin,Miriam,Sophie,"schrecklich

Keine Erklärung. Nur das Adjektiv.
Sophie sagt: \""Es war ""schrecklich""",1
Kuchen,Enge Freundin,Katharina,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Enge Freundin,Luisa,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Enge Freundin,Luisa,Anna,"Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.  
Okay.",2
Kuchen,Enge Freundin,Luisa,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Enge Freundin,Katharina,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Enge Freundin,Katharina,Miriam,"Okay. Miriam's reaction of giving 2 out of 5 hearts indicates a negative evaluation, so the adjective should be ""schlecht",2
Kuchen,Enge Freundin,Anna,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Enge Freundin,Katharina,Luisa,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,2
Kuchen,Enge Freundin,Katharina,Miriam,"Okay. Miriam's reaction of giving 2 out of 5 hearts indicates a negative evaluation, so the adjective should be ""schlecht",2
Kuchen,Enge Freundin,Katharina,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Enge Freundin,Sophie,Anna,"Okay. Sophie fragt nach der Meinung, Anna gibt eine Bewertung von 2 von 5 Herzen. Das ist eine niedr",2
Kuchen,Enge Freundin,Sophie,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Miriam,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Miriam,Anna,"Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",3
Kuchen,Enge Freundin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Miriam,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Luisa,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Katharina,Sophie,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Enge Freundin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Anna,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Katharina,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Sophie,Miriam,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,4
Kuchen,Enge Freundin,Sophie,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Miriam,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",4
Kuchen,Enge Freundin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Enge Freundin,Sophie,Anna,"Okay. Sophie fragt nach der Meinung, Anna gibt eine Bewertung von 5 von 5 Herzen, was sehr positiv ist",5
Kuchen,Enge Freundin,Anna,Miriam,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Enge Freundin,Miriam,Sophie,"Okay. Keine Erklärung. Nur das Adjektiv.
Okay. Keine Erklärung. Nur das Adjektiv.
Okay",5
Kuchen,Enge Freundin,Miriam,Sophie,"Okay. Keine Erklärung. Nur das Adjektiv.
Okay. Keine Erklärung. Nur das Adjektiv.
Okay",5
Kuchen,Enge Freundin,Anna,Luisa,"Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Enge Freundin,Anna,Luisa,"Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Enge Freundin,Miriam,Sophie,"Okay. Keine Erklärung. Nur das Adjektiv.
Okay. Keine Erklärung. Nur das Adjektiv.
Okay",5
Kuchen,Enge Freundin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Enge Freundin,Anna,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",5
Kuchen,Entfernte Kollegin,Katharina,Sophie,"schrecklich

**Erklärung:**  
Sophie bewertet den Kuchen mit 1 von 5 Herzen, was einen",1
Kuchen,Entfernte Kollegin,Luisa,Sophie,"schrecklich

Die Bewertung von Sophie mit 1 von 5 Herzen deutet auf eine sehr negative Meinung hin. Daher",1
Kuchen,Entfernte Kollegin,Luisa,Katharina,"schrecklich

Die Bewertung von Katharina mit 1 von 5 Herzen deutet auf eine sehr negative Meinung hin.",1
Kuchen,Entfernte Kollegin,Miriam,Luisa,"schrecklich

Luisa fand den Kuchen mit 1 von 5 Herzen, was einen sehr niedrigen Bewertung",1
Kuchen,Entfernte Kollegin,Anna,Luisa,"schrecklich

Keine Erklärung. Nur das Adjektiv.
Luisa sagt: \""Es war ""schrecklich""",1
Kuchen,Entfernte Kollegin,Sophie,Anna,Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay,1
Kuchen,Entfernte Kollegin,Anna,Luisa,"schrecklich

Keine Erklärung. Nur das Adjektiv.
Luisa sagt: \""Es war ""schrecklich""",1
Kuchen,Entfernte Kollegin,Luisa,Anna,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Entfernte Kollegin,Miriam,Sophie,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",1
Kuchen,Entfernte Kollegin,Luisa,Sophie,"schrecklich

Die Bewertung von Sophie mit 1 von 5 Herzen deutet auf eine sehr negative Meinung hin. Daher",1
Kuchen,Entfernte Kollegin,Miriam,Luisa,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Entfernte Kollegin,Luisa,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
Kuchen,Entfernte Kollegin,Sophie,Katharina,"Okay
Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay

Okay",2
