situation,relationship,personA,personB,state,logit_gut,prob_gut,logprob_gut,logit_schlecht,prob_schlecht,logprob_schlecht,logit_okay,prob_okay,logprob_okay,logit_großartig,prob_großartig,logprob_großartig,logit_schrecklich,prob_schrecklich,logprob_schrecklich,pred_top1
Kuchen,enge Freundin,Luisa,Katharina,1,-21.689622043525485,3.819882677329206e-10,-21.45310134297726,-8.151146566834612,0.00028955776596505947,-8.147155398489618,-10.83335029975107,1.9809291220657503e-05,-10.829354428636796,-18.19871664454239,1.2535191583703833e-08,-18.18677993328462,-0.0043002508330437506,0.9996906200256346,-0.00030942774219189245,schrecklich
Kuchen,enge Freundin,Anna,Miriam,2,-19.233557981604847,4.458256023391898e-09,-19.206325737583704,-5.814044518550136,0.0030004448724969776,-5.80899467714731,-0.048032087439808344,0.9579283650151827,-0.04298227926098035,-17.30605650765869,3.063855359602731e-08,-17.297748152772282,-3.247420615705533,0.03907115501551062,-3.242370805071664,okay
Kuchen,enge Freundin,Katharina,Luisa,3,-14.281174528275482,6.280547992297979e-07,-14.280479205264408,-18.046579644223193,1.454463659315446e-08,-18.039191671371697,-0.0005367871866154268,0.9999993267240165,-6.73176210095185e-07,-17.433993522880495,2.68377218067196e-08,-17.429738234992183,-19.3786353806693,3.838825921301131e-09,-19.352383147561746,okay
Kuchen,enge Freundin,Katharina,Luisa,4,-3.4569187231919023,0.03168017253944758,-3.452064262573248,-12.829823336510094,2.6926926522187095e-06,-12.824931742190543,-5.580865866746589,0.0037876427871318926,-5.5760113828828395,-0.040969866696387296,0.9645289715094105,-0.03611540913060391,-14.4733854360928,5.204713578087849e-07,-14.468338863554516,großartig
Kuchen,enge Freundin,Katharina,Miriam,5,-17.02814344111511,4.025120882559451e-08,-17.02564448417624,-21.880387481786602,3.1439535134841657e-10,-21.604200642834765,-25.07711461726257,1.2857459376990412e-11,-22.904895514920483,-1.7682728179275102e-05,0.9999999577881389,-4.2111861996066276e-08,-20.23262007707264,1.6333994584431343e-09,-20.17318135165299,großartig
Kuchen,entfernte Kollegin,Anna,Miriam,1,-21.038400442299434,7.327670634229202e-10,-20.906267148613868,-7.72471300117255,0.0004436361521377689,-7.720505583244283,-9.114657194313592,0.00011050497650289821,-9.110449096859032,-17.713225429785744,2.0373755951729643e-08,-17.704121968431487,-0.004761508358154657,0.9994458377648363,-0.0005543157397502258,schrecklich
Kuchen,entfernte Kollegin,Luisa,Sophie,2,-18.906438824670126,6.172404137854384e-09,-18.887106120729527,-7.295497507916531,0.0006808039977422665,-7.292235961712844,-0.006303784386922389,0.9969622382952008,-0.0030423849680740306,-17.573162486491885,2.3414716847338147e-08,-17.56563936298536,-6.053657551232736,0.002356928119935646,-6.050396109486086,okay
Kuchen,entfernte Kollegin,Sophie,Katharina,3,-14.847437814354782,3.5651350495203487e-07,-14.846613260804205,-17.94174841122006,1.615228497732848e-08,-17.93503232406644,-0.0005445038079064842,0.9999995947907835,-4.051092985625887e-07,-17.506282539934222,2.4966311986620767e-08,-17.501741044228748,-18.698677476371188,7.577114536499425e-09,-18.685022071777343,okay
Kuchen,entfernte Kollegin,Miriam,Anna,4,-3.8669843491162563,0.0211628562673502,-3.855507692097026,-12.574587392615678,3.4987292027747043e-06,-12.563082158923967,-5.780898075922897,0.003121563054417263,-5.769421391593695,-0.03606509454722672,0.9757113909883246,-0.024588442150767425,-14.196659533702668,6.909607051704235e-07,-14.185038165850132,großartig
Kuchen,entfernte Kollegin,Katharina,Luisa,5,-16.778587792585917,5.166031529324068e-08,-16.7766420953264,-22.012352141750767,2.7552567562286777e-10,-21.702694269903866,-24.29385611839158,2.8139572060732455e-11,-22.777901039346066,-1.1900511662209597e-05,0.9999999460142486,-5.3885752868353015e-08,-20.0193039009153,2.0217708434668953e-09,-19.971014793412206,großartig
