situation,relationship,personA,personB,adjective,response_text
Kuchen,Enge Freundin,Sophie,Luisa,großartig,"3

**Begründung:**  
Luisa sagt, dass der Kuchen ""großartig"" war, was auf eine"
Kuchen,Enge Freundin,Miriam,Katharina,großartig,"3

**Begründung:**  
Katharina sagt, dass der Kuchen ""großartig"" war, was eine"
Kuchen,Enge Freundin,Katharina,Anna,großartig,"4

Antwort:
4

Antwort:
4

Antwort:
4

Antwort:
4

Antwort:
4

Antwort"
Kuchen,Enge Freundin,Katharina,Miriam,großartig,"4

Miriam sagt, dass der Kuchen ""großartig"" war, was ein positives Feedback ist. Da Katharina die"
Kuchen,Enge Freundin,Luisa,Miriam,großartig,"4

Die Antwort ist 4. Miriam sagt, dass der Kuchen ""großartig"" war, was eine positive Bewertung"
Kuchen,Enge Freundin,Miriam,Katharina,großartig,"3

**Begründung:**  
Katharina sagt, dass der Kuchen ""großartig"" war, was eine"
Kuchen,Enge Freundin,Miriam,Luisa,großartig,"3

**Begründung:**  
Luisa sagt, dass der Kuchen ""großartig"" war, was eine positive"
Kuchen,Enge Freundin,Sophie,Anna,großartig,"4

Antwort:
4

Antwort:
4

Antwort:
4

Antwort:
4

Antwort:
4

Antwort"
Kuchen,Enge Freundin,Katharina,Miriam,großartig,"4

Miriam sagt, dass der Kuchen ""großartig"" war, was ein positives Feedback ist. Da Katharina die"
Kuchen,Enge Freundin,Luisa,Miriam,großartig,"4

Die Antwort ist 4. Miriam sagt, dass der Kuchen ""großartig"" war, was eine positive Bewertung"
Kuchen,Enge Freundin,Miriam,Anna,gut,"3

**Begründung:**  
Anna sagt ""Es war gut"", was eine neutrale bis leicht positive Bewertung ist. Da sie"
Kuchen,Enge Freundin,Miriam,Luisa,gut,"3

**Begründung:**  
Luisa sagte ""Es war gut"", was eine neutrale bis leicht positive Bewertung ist."
Kuchen,Enge Freundin,Miriam,Anna,gut,"3

Die Antwort ist 3. Anna hat den Kuchen als ""gut"" bewertet, was eine neutrale bis leicht positive"
Kuchen,Enge Freundin,Luisa,Miriam,gut,"3

**Begründung:**  
Miriam sagt ""Es war gut"", was eine neutrale bis leicht positive Bewertung ist. Da"
Kuchen,Enge Freundin,Miriam,Sophie,gut,"3

**Begründung:** Sophie sagte ""Es war gut"", was eine neutrale bis leicht positive Bewertung ist. Da sie die"
Kuchen,Enge Freundin,Miriam,Sophie,gut,"3

**Begründung:** Sophie sagte ""Es war gut"", was eine neutrale bis leicht positive Bewertung ist. Da sie die"
Kuchen,Enge Freundin,Katharina,Anna,gut,"3

Antwort:
3

Antwort:
3

Antwort:
3

Antwort:
3

Antwort:
3

Antwort"
Kuchen,Enge Freundin,Sophie,Miriam,gut,"3

**Begründung:**  
Miriam sagt, dass der Kuchen ""gut"" war, was eine neutrale bis positive"
Kuchen,Enge Freundin,Luisa,Katharina,gut,"3

**Begründung:**  
Katharina sagt ""Es war gut"", was eine neutrale bis leicht positive Bewertung ist"
Kuchen,Enge Freundin,Katharina,Luisa,gut,"3

**Begründung:**  
Luisa sagte ""Es war gut"", was eine neutrale bis positive Bewertung ist. Da"
Kuchen,Enge Freundin,Anna,Luisa,okay,"3

Die Antwort ist 3. Luisa sagte ""Es war okay"", was eine neutrale Bewertung ist. Da sie ihre eigene"
Kuchen,Enge Freundin,Anna,Sophie,okay,"3

**Begründung:** Sophie sagte ""Es war okay"", was eine neutrale Bewertung ist. Da sie ihre Freundin Anna"
Kuchen,Enge Freundin,Luisa,Miriam,okay,"3

**Begründung:**  
Miriam sagt ""Es war okay"", was eine neutrale Bewertung ist. Sie gibt keine kl"
Kuchen,Enge Freundin,Katharina,Miriam,okay,"3

Miriam's Antwort ""Es war okay"" deutet auf eine neutrale Bewertung hin, was auf einer 3 auf der Sk"
Kuchen,Enge Freundin,Miriam,Katharina,okay,"3

Die Antwort ist 3. Katharina gibt eine neutrale Bewertung mit ""Es war okay"", was auf eine mittelmäß"
Kuchen,Enge Freundin,Miriam,Anna,okay,"3

Die Antwort ist 3. Anna hat den Kuchen als ""okay"" bewertet, was eine neutrale bis leicht positive Bewert"
Kuchen,Enge Freundin,Anna,Katharina,okay,"3

**Begründung:**  
Katharina sagt ""Es war okay"", was eine neutrale Bewertung ist. Sie gibt"
Kuchen,Enge Freundin,Miriam,Sophie,okay,"3

**Begründung:** Sophie sagte ""Es war okay"", was eine neutrale Bewertung ist. Da sie ihre Freundin Mir"
Kuchen,Enge Freundin,Luisa,Miriam,okay,"3

**Begründung:**  
Miriam sagt ""Es war okay"", was eine neutrale Bewertung ist. Sie gibt keine kl"
Kuchen,Enge Freundin,Anna,Luisa,okay,"3

Die Antwort ist 3. Luisa sagte ""Es war okay"", was eine neutrale Bewertung ist. Da sie ihre eigene"
Kuchen,Enge Freundin,Anna,Katharina,schlecht,"1

Die Antwort ist 1, weil Katharina direkt sagte, dass der Kuchen ""schlecht"" war, was auf eine"
Kuchen,Enge Freundin,Katharina,Luisa,schlecht,"1

Die Antwort ist 1, weil Luisa direkt sagte, dass der Kuchen ""schlecht"" war, was auf eine sehr"
Kuchen,Enge Freundin,Katharina,Sophie,schlecht,"1

Sophie sagt, dass der Kuchen ""schlecht"" war, was eine klare und negative Bewertung ist. Auf einer"
Kuchen,Enge Freundin,Miriam,Luisa,schlecht,"2

**Begründung:**  
Luisa sagte, dass der Kuchen ""schlecht"" war, was eine klare"
Kuchen,Enge Freundin,Anna,Miriam,schlecht,"2

**Begründung:**  
Miriam sagt, dass der Kuchen ""schlecht"" war, was eine klare,"
Kuchen,Enge Freundin,Anna,Katharina,schlecht,"1

Die Antwort ist 1, weil Katharina direkt sagte, dass der Kuchen ""schlecht"" war, was auf eine"
Kuchen,Enge Freundin,Luisa,Anna,schlecht,"2

Antwort:
2

Antwort:
2

Antwort:
2

Antwort:
2

Antwort:
2

Antwort"
