situation,relationship,personA,personB,adjective,response_text
Kuchen,Enge Freundin,Katharina,Miriam,großartig,"5

Okay, let's tackle this. So, the scenario is that Katharina baked a cake and Miriam tried it. Then Kath"
Kuchen,Enge Freundin,Luisa,Anna,großartig,"Antwort:
5
Okay, let's tackle this. So, the scenario is that Luisa baked a cake and Anna tried it. Then Luisa"
Kuchen,Enge Freundin,Sophie,Luisa,großartig,"5
Die Antwort ist 5, weil Luisa den Kuchen tatsächlich sehr mochte und ihre positive Bewertung ""großartig"""
Kuchen,Enge Freundin,Sophie,Katharina,großartig,"5
Okay, let's see. So the scenario is that Sophie baked a cake and Katharina tried it. Then Sophie asks Kathar"
Kuchen,Enge Freundin,Sophie,Miriam,großartig,"5
Die Antwort ist 5, weil Miriam eine enge Freundin ist und Sophie den Kuchen gebacken hat. Miriam"
Kuchen,Enge Freundin,Luisa,Katharina,gut,"4

Okay, let's tackle this. So, the scenario is that Luisa made a cake and Katharina tried it. Then Luis"
Kuchen,Enge Freundin,Luisa,Miriam,gut,"Antwort:
3
Okay, let's try to figure this out. So, the scenario is that Luisa made a cake and Miriam tried it"
Kuchen,Enge Freundin,Katharina,Anna,gut,"Antwort:
3
Okay, let's try to figure this out. So, the scenario is that Katharina baked a cake and Anna tried it"
Kuchen,Enge Freundin,Miriam,Luisa,gut,"Antwort:
3
Okay, let's try to figure this out. So, Miriam is Luisa's good friend. Miriam baked a cake"
Kuchen,Enge Freundin,Miriam,Katharina,gut,"4

Okay, let's see. So the scenario is that Miriam baked a cake and Katharina tried it. Then Miriam asks"
Kuchen,Enge Freundin,Sophie,Luisa,okay,"Antwort:
3
Okay, let's try to figure out how to answer this. So, the scenario is that Sophie baked a cake and Luisa"
Kuchen,Enge Freundin,Sophie,Katharina,okay,"Antwort:
3
Okay, let's try to figure this out. So, Sophie is Katharina's good friend. Sophie baked a cake,"
Kuchen,Enge Freundin,Luisa,Anna,okay,"3

Okay, let's see. The scenario is that Luisa, who is Anna's close friend, baked a cake, and Anna tried"
Kuchen,Enge Freundin,Sophie,Katharina,okay,"Antwort:
3
Okay, let's try to figure this out. So, Sophie is Katharina's good friend. Sophie baked a cake,"
