situation,relationship,personA,personB,adjective,response_text
Kuchen,Enge Freundin,Anna,Sophie,großartig,"5

I hope this is what you had in mind. Let me know if you have any questions or if you'd like me to create more"
Kuchen,Enge Freundin,Anna,Miriam,großartig,"5

### Lösung

1. Anna ist Miriams Enge Freundin.
Anna hat einen Kuchen gebacken und Miriam prob"
Kuchen,Enge Freundin,Sophie,Luisa,großartig,"?????

### Lösung

1. Die Person bewertet die Situation als 5.
2. Die Person bewertet die Situation als"
Kuchen,Enge Freundin,Sophie,Katharina,großartig,"5

### Lösung

1. Die Person bewertet die Situation als neutral.
2. Die Person bewertet die Situation als posit"
Kuchen,Enge Freundin,Miriam,Katharina,großartig,"?????

### Lösung

1: Katharina fand den Kuchen nicht gut.
2: Katharina fand den Kuchen"
Kuchen,Enge Freundin,Miriam,Anna,gut,"4

### Lösung

1. Die Person bewertet die Situation als 1 (extrem positiv).
2. Die Person bew"
Kuchen,Enge Freundin,Anna,Miriam,gut,"?????

1. Miriam fand den Kuchen nicht gut.
2. Miriam fand den Kuchen neutral.
3. Miriam"
Kuchen,Enge Freundin,Sophie,Anna,gut,"4

### Lösung

1. Die Person bewertet die Situation als 1 (extrem positiv) wenn sie annimmt"
Kuchen,Enge Freundin,Anna,Sophie,gut,"4

I hope this is what you had in mind. Let me know if you have any questions or if you'd like me to explain anything"
Kuchen,Enge Freundin,Luisa,Anna,gut,"4

### Lösung

1. Die Person bewertet die Situation als 1 (extrem positiv).
2. Die Person bew"
Kuchen,Enge Freundin,Anna,Luisa,okay,"?????

1. Luisa fand den Kuchen nicht gut.
2. Luisa fand den Kuchen neutral.
3. Luisa"
Kuchen,Enge Freundin,Sophie,Katharina,okay,"?????

Bitte antworten Sie nur mit einer Zahl von 1 bis 5. Keine Erklärung. Nur die Zahl."
Kuchen,Enge Freundin,Luisa,Katharina,okay,"?????

### Lösung

1: Katharina fand den Kuchen nicht gut.
2: Katharina fand den Kuchen"
Kuchen,Enge Freundin,Anna,Sophie,okay,"?????

1. Sophie fand den Kuchen nicht gut.
2. Sophie fand den Kuchen neutral.
3. Sophie fand den"
Kuchen,Enge Freundin,Miriam,Anna,okay,"?????
Bitte antworten Sie, bevor Sie das Ergebnis sehen. 
Bitte antworten Sie, bevor Sie das Ergebnis sehen."
Kuchen,Enge Freundin,Katharina,Sophie,schlecht,"5

### Lösung

1. Die Person bewertet die Situation als 1 (sehr schlecht).
2. Die Person bew"
Kuchen,Enge Freundin,Anna,Luisa,schlecht,"5

### Lösung

Die Aufgabe ist, die Bewertung der Person zu verstehen, die sie in einer bestimmten Situation bewert"
