LLM,Model,Relationship,disc_range,human_range
Qwen3,A,enge Freundin,1.287,3.68
Qwen3,A,entfernte Kollegin,1.187,3.27
Qwen3,A,lockere Chefin,1.052,3.39
Qwen3,A,gefürchtete Chefin,1.304,2.58
Qwen3,B,enge Freundin,0.354,3.68
Qwen3,B,entfernte Kollegin,0.356,3.27
Qwen3,B,lockere Chefin,0.353,3.39
Qwen3,B,gefürchtete Chefin,0.353,2.58
Qwen3,C,enge Freundin,1.756,3.68
Qwen3,C,entfernte Kollegin,1.756,3.27
Qwen3,C,lockere Chefin,1.707,3.39
Qwen3,C,gefürchtete Chefin,1.779,2.58
Qwen3,D,enge Freundin,1.34,3.68
Qwen3,D,entfernte Kollegin,1.34,3.27
Qwen3,D,lockere Chefin,1.34,3.39
Qwen3,D,gefürchtete Chefin,1.34,2.58
LLaMA3,A,enge Freundin,3.191,3.68
LLaMA3,A,entfernte Kollegin,3.273,3.27
LLaMA3,A,lockere Chefin,3.223,3.39
LLaMA3,A,gefürchtete Chefin,3.057,2.58
LLaMA3,B,enge Freundin,1.458,3.68
LLaMA3,B,entfernte Kollegin,1.458,3.27
LLaMA3,B,lockere Chefin,1.458,3.39
LLaMA3,B,gefürchtete Chefin,1.458,2.58
LLaMA3,C,enge Freundin,3.455,3.68
LLaMA3,C,entfernte Kollegin,3.517,3.27
LLaMA3,C,lockere Chefin,3.457,3.39
LLaMA3,C,gefürchtete Chefin,3.396,2.58
LLaMA3,D,enge Freundin,3.46,3.68
LLaMA3,D,entfernte Kollegin,3.46,3.27
LLaMA3,D,lockere Chefin,3.46,3.39
LLaMA3,D,gefürchtete Chefin,3.46,2.58
