situation,relationship,personA,personB,state,response_text,parsed
Kuchen,enge Freundin,Katharina,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Luisa,Anna,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Luisa,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Katharina,Anna,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Luisa,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Luisa,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Anna,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Anna,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Anna,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Luisa,Anna,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Katharina,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Miriam,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Katharina,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Katharina,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Miriam,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Sophie,Luisa,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Anna,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Luisa,Sophie,1,Es war schrecklich.,schrecklich
Kuchen,enge Freundin,Anna,Miriam,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Miriam,Sophie,2,Es war okay.,okay
Kuchen,enge Freundin,Anna,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Anna,2,Es war okay.,okay
Kuchen,enge Freundin,Anna,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Anna,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Sophie,Anna,2,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Luisa,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Miriam,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Luisa,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Sophie,Luisa,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Anna,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Luisa,2,Es war schlecht,schlecht
Kuchen,enge Freundin,Sophie,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Sophie,Anna,2,Es war okay.,okay
Kuchen,enge Freundin,Anna,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Anna,Luisa,2,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Miriam,Luisa,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Luisa,Miriam,2,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Katharina,Sophie,2,Es war okay.,okay
Kuchen,enge Freundin,Luisa,Katharina,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Sophie,Miriam,2,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Luisa,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Sophie,Miriam,2,Es war schlecht.,schlecht
Kuchen,enge Freundin,Luisa,Katharina,2,Es war schlecht,schlecht
Kuchen,enge Freundin,Anna,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Miriam,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Luisa,3,Es war okay.,okay
Kuchen,enge Freundin,Anna,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Anna,Katharina,3,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Miriam,3,Es war okay.,okay
Kuchen,enge Freundin,Anna,Miriam,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Miriam,3,Es war okay.,okay
Kuchen,enge Freundin,Luisa,Miriam,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Luisa,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Luisa,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Katharina,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Luisa,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Anna,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Luisa,Miriam,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Luisa,3,Es war okay.,okay
Kuchen,enge Freundin,Anna,Katharina,3,Es war okay.,okay
Kuchen,enge Freundin,Luisa,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Miriam,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Luisa,Sophie,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Luisa,3,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Anna,3,Es war okay.,okay
Kuchen,enge Freundin,Anna,Katharina,3,Es war okay.,okay
Kuchen,enge Freundin,Sophie,Katharina,3,Es war okay.,okay
Kuchen,enge Freundin,Katharina,Sophie,4,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Luisa,4,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Anna,4,Es war gut.,gut
Kuchen,enge Freundin,Sophie,Luisa,4,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Anna,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Miriam,4,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Luisa,4,Es war gut.,gut
Kuchen,enge Freundin,Sophie,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Miriam,4,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Katharina,4,Es war gut.,gut
Kuchen,enge Freundin,Miriam,Anna,4,Es war gut.,gut
Kuchen,enge Freundin,Miriam,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Miriam,4,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Luisa,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Sophie,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Anna,4,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Anna,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Anna,4,Es war großartig.,großartig
Kuchen,enge Freundin,Luisa,Miriam,4,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Luisa,4,Es war großartig.,großartig
Kuchen,enge Freundin,Katharina,Sophie,4,Es war gut.,gut
Kuchen,enge Freundin,Miriam,Luisa,4,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Miriam,4,Es war großartig.,großartig
Kuchen,enge Freundin,Miriam,Katharina,4,Es war gut.,gut
Kuchen,enge Freundin,Luisa,Anna,4,Es war großartig.,großartig
Kuchen,enge Freundin,Sophie,Katharina,4,Es war großartig.,großartig
Kuchen,enge Freundin,Anna,Sophie,5,Es war großartig.,großartig
