situation,relationship,personA,personB,adjective,response_text
Kuchen,Enge Freundin,Sophie,Miriam,großartig,"5
Bitte lesen Sie das Szenario sorgfältig und geben Sie an, wie die Person die Situation wirklich bewertet."
Kuchen,Enge Freundin,Sophie,Miriam,großartig,"5
Bitte lesen Sie das Szenario sorgfältig und geben Sie an, wie die Person die Situation wirklich bewertet."
Kuchen,Enge Freundin,Miriam,Sophie,großartig,"5
Bitte beachten Sie, dass die Antwort nur eine Zahl sein sollte. Ich hoffe, Sie verstehen. Ich warte auf"
Kuchen,Enge Freundin,Miriam,Sophie,großartig,"5
Bitte beachten Sie, dass die Antwort nur eine Zahl sein sollte. Ich hoffe, Sie verstehen. Ich warte auf"
Kuchen,Enge Freundin,Anna,Luisa,großartig,"5
Bitte beachten Sie, dass die Antwort nur eine Zahl sein sollte. Ich hoffe, Sie verstehen. Ich warte auf"
Kuchen,Enge Freundin,Sophie,Luisa,großartig,"5
Bitte beachten Sie, dass die Frage nicht nach der tatsächlichen Meinung von Luisa fragt, sondern nach der Mein"
Kuchen,Enge Freundin,Miriam,Sophie,großartig,"5
Bitte beachten Sie, dass die Antwort nur eine Zahl sein sollte. Ich hoffe, Sie verstehen. Ich warte auf"
Kuchen,Enge Freundin,Katharina,Sophie,großartig,"5
Bitte beachten Sie, dass die Frage nicht nach der tatsächlichen Meinung von Sophie fragt, sondern nach der wahrschein"
Kuchen,Enge Freundin,Miriam,Anna,großartig,"5
Bitte beachten Sie, dass die Frage nach der Meinung von Anna ist und nicht nach der Meinung von Miriam. Wir suchen"
Kuchen,Enge Freundin,Anna,Miriam,großartig,"5
Bitte beachten Sie, dass die Frage nach der Meinung gefragt wurde und Miriam eine positive Antwort gibt. Deshalb ist"
Kuchen,Enge Freundin,Sophie,Anna,gut,"3
Bitte beachten Sie, dass die Frage nicht nach der tatsächlichen Meinung von Anna fragt, sondern nach der Meinung"
Kuchen,Enge Freundin,Luisa,Miriam,gut,"3
Bitte beachten Sie, dass die Frage nicht nach der tatsächlichen Meinung von Miriam fragt, sondern nach der Mein"
Kuchen,Enge Freundin,Sophie,Miriam,gut,"3
Bitte beachten Sie, dass die Frage nicht nach der tatsächlichen Meinung von Miriam fragt, sondern nach der Mein"
Kuchen,Enge Freundin,Luisa,Miriam,gut,"3
Bitte beachten Sie, dass die Frage nicht nach der tatsächlichen Meinung von Miriam fragt, sondern nach der Mein"
Kuchen,Enge Freundin,Sophie,Luisa,gut,"3
Bitte beachten Sie, dass die Frage nach der Meinung gefragt wurde, also Luisa nicht direkt sagt, dass sie den"
