situation,relationship,personA,personB,adjective,response_text
Kuchen,Enge Freundin,Anna,Miriam,großartig,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Katharina,Anna,großartig,"???? 1 / 2 / 3 / 4 / 5
Bitte antworten Sie mit einer einzigen Zahl. 1"
Kuchen,Enge Freundin,Luisa,Sophie,großartig,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Anna,Miriam,großartig,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Anna,Luisa,großartig,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Katharina,Sophie,großartig,???? 1-5 1-5 1-5 1-5 1-5 1-5 1-5
Kuchen,Enge Freundin,Anna,Miriam,großartig,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Anna,Luisa,großartig,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Katharina,Miriam,großartig,???? 1 / 2 / 3 / 4 / 5  ??  ??  ??  ??  ??  ??  ??
Kuchen,Enge Freundin,Katharina,Sophie,großartig,???? 1-5 1-5 1-5 1-5 1-5 1-5 1-5
Kuchen,Enge Freundin,Katharina,Sophie,gut,???? 1-5 1-5 1-5 1-5 1-5 1-5 1-5
Kuchen,Enge Freundin,Luisa,Anna,gut,"???? 1-5 1 / 2 / 3 / 4 / 5
Bitte antworten Sie mit einer einzigen"
Kuchen,Enge Freundin,Sophie,Katharina,gut,"???? 1 / 2 / 3 / 4 / 5
Bitte antworten Sie mit einer einzigen Zahl. 1"
Kuchen,Enge Freundin,Miriam,Katharina,gut,???? 1 / 2 / 3 / 4 / 5  ??  ??  ??  ??  ??  ??  ??
Kuchen,Enge Freundin,Miriam,Katharina,gut,???? 1 / 2 / 3 / 4 / 5  ??  ??  ??  ??  ??  ??  ??
Kuchen,Enge Freundin,Miriam,Sophie,gut,???? 1-5 1-5 1-5 1-5 1-5 1-5 1-5
Kuchen,Enge Freundin,Sophie,Anna,gut,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Sophie,Anna,gut,"?????
Bitte antworten Sie mit einer einzigen Zahl (1-5). 1 = sehr schlecht, 5 = sehr gut"
Kuchen,Enge Freundin,Sophie,Miriam,gut,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
Kuchen,Enge Freundin,Miriam,Anna,gut,???? 1-5 1 / 2 / 3 / 4 / 5 1 / 2 / 3 /
Kuchen,Enge Freundin,Miriam,Sophie,okay,"???? 1-5 1 / 2 / 3 / 4 / 5
Bitte antworten Sie nur mit einer Zahl"
Kuchen,Enge Freundin,Anna,Miriam,okay,"???? 1 / 2 / 3 / 4 / 5
Bitte antworten Sie mit einer einzigen Zahl. 1"
Kuchen,Enge Freundin,Miriam,Katharina,okay,???? 1 / 2 / 3 / 4 / 5  ??  ??  ??  ??  ??  ??  ??
Kuchen,Enge Freundin,Anna,Luisa,okay,"?????
Bitte antworten Sie mit einer einzigen Zahl. 1-5. 1 = sehr schlecht, 5 = sehr"
