LLM,Model,param,Relationship,LI_mean,LI_hdi,SP_mean,SP_hdi,HDI_overlap,consistent
Qwen3,A,phi,enge Freundin,0.499,"[0.082, 1.0]",0.531,"[0.257, 0.778]",0.521,✓
Qwen3,A,phi,entfernte Kollegin,0.412,"[0.055, 0.825]",0.545,"[0.273, 0.789]",0.516,✓
Qwen3,A,phi,lockere Chefin,0.346,"[0.045, 0.685]",0.678,"[0.415, 0.878]",0.27,✓
Qwen3,A,phi,gefürchtete Chefin,0.37,"[0.058, 0.707]",0.688,"[0.398, 0.944]",0.309,✓
Qwen3,B,alpha,enge Freundin,2.738,"[0.585, 5.0]",3.72,"[1.946, 5.0]",3.054,✓
Qwen3,B,alpha,entfernte Kollegin,2.612,"[0.276, 4.999]",3.684,"[1.906, 4.999]",3.093,✓
Qwen3,B,alpha,lockere Chefin,2.644,"[0.287, 4.996]",2.6,"[1.167, 3.719]",2.552,✓
Qwen3,B,alpha,gefürchtete Chefin,3.023,"[0.984, 5.0]",0.994,"[0.333, 1.669]",0.685,✓
Qwen3,C,phi,enge Freundin,0.207,"[0.065, 0.345]",0.835,"[0.6, 1.0]",0.0,✗
Qwen3,C,phi,entfernte Kollegin,0.208,"[0.065, 0.348]",0.822,"[0.588, 1.0]",0.0,✗
Qwen3,C,phi,lockere Chefin,0.205,"[0.058, 0.335]",0.868,"[0.625, 1.0]",0.0,✗
Qwen3,C,phi,gefürchtete Chefin,0.21,"[0.066, 0.352]",0.848,"[0.605, 1.0]",0.0,✗
Qwen3,D,alpha,enge Freundin,2.86,"[0.803, 4.999]",2.537,"[0.318, 5.0]",4.196,✓
Qwen3,D,alpha,entfernte Kollegin,2.856,"[0.788, 4.998]",2.648,"[0.39, 4.996]",4.208,✓
Qwen3,D,alpha,lockere Chefin,2.881,"[0.803, 4.999]",2.108,"[0.003, 4.569]",3.766,✓
Qwen3,D,alpha,gefürchtete Chefin,2.872,"[0.79, 4.999]",1.977,"[0.0, 4.538]",3.748,✓
LLaMA3,A,phi,enge Freundin,0.639,"[0.068, 0.973]",0.939,"[0.907, 0.962]",0.055,✓
LLaMA3,A,phi,entfernte Kollegin,0.697,"[0.114, 1.0]",0.92,"[0.882, 0.946]",0.064,✓
LLaMA3,A,phi,lockere Chefin,0.66,"[0.097, 1.0]",0.96,"[0.934, 0.981]",0.047,✓
LLaMA3,A,phi,gefürchtete Chefin,0.57,"[0.066, 0.866]",0.972,"[0.946, 0.993]",0.0,✗
LLaMA3,B,alpha,enge Freundin,2.97,"[1.003, 4.995]",2.918,"[1.239, 4.501]",3.262,✓
LLaMA3,B,alpha,entfernte Kollegin,3.017,"[1.051, 4.999]",3.783,"[1.912, 5.0]",3.087,✓
LLaMA3,B,alpha,lockere Chefin,2.979,"[0.992, 4.988]",1.733,"[0.579, 2.882]",1.89,✓
LLaMA3,B,alpha,gefürchtete Chefin,2.978,"[0.986, 4.979]",0.867,"[0.077, 1.669]",0.683,✓
LLaMA3,C,phi,enge Freundin,0.806,"[0.543, 1.0]",0.725,"[0.429, 0.952]",0.409,✓
LLaMA3,C,phi,entfernte Kollegin,0.876,"[0.605, 1.0]",0.708,"[0.424, 0.935]",0.33,✓
LLaMA3,C,phi,lockere Chefin,0.815,"[0.55, 1.0]",0.75,"[0.433, 0.97]",0.42,✓
LLaMA3,C,phi,gefürchtete Chefin,0.766,"[0.507, 0.983]",0.721,"[0.38, 0.979]",0.472,✓
LLaMA3,D,alpha,enge Freundin,2.148,"[0.002, 4.638]",3.156,"[1.315, 5.0]",3.323,✓
LLaMA3,D,alpha,entfernte Kollegin,2.268,"[0.0, 4.675]",3.488,"[1.612, 5.0]",3.063,✓
LLaMA3,D,alpha,lockere Chefin,2.206,"[0.0, 4.664]",2.567,"[0.714, 4.753]",3.95,✓
LLaMA3,D,alpha,gefürchtete Chefin,2.332,"[0.001, 4.694]",1.612,"[0.005, 3.458]",3.453,✓
