situation,relationship,personA,personB,adjective,response_text
Kuchen,enge Freundin,Anna,Luisa,großartig,"5
Es war großartig. Das bedeutet, dass Luisa den Kuchen sehr gut fand, also 5 von 5"
Kuchen,enge Freundin,Sophie,Miriam,großartig,"5

Begründung: Die Aussage von Miriam (""Es war großartig"") weist auf eine sehr positive Einstellung"
Kuchen,enge Freundin,Katharina,Miriam,großartig,"5
Erklärung: Miriam hat den Kuchen als ""größeartig"" beschrieben. Dies ist ein positives Lob, was"
Kuchen,enge Freundin,Luisa,Katharina,großartig,"**4** (4 von 5 Herzen) [Ich denke, dass Katharina den Kuchen wirklich sehr gut fand, aber"
Kuchen,enge Freundin,Sophie,Miriam,großartig,"**3**



Lösung:
Miriam fand den Kuchen ""größeartig"". Das ist eine neutrale Bewertung, daher"
Kuchen,enge Freundin,Miriam,Sophie,großartig,"5

Die Antwort ist 5, da die Aussage von Sophie ""Es war großartig"" sehr positiv ist und andeutet"
Kuchen,enge Freundin,Katharina,Luisa,großartig,"5
Erklärung:
Luisa hat den Kuchen sehr gut gefunden, wie sie sagt: ""Es war großartig."" Das"
Kuchen,enge Freundin,Sophie,Miriam,großartig,"5

Die Antwort ist 5, da Miriam den Kuchen "" großartig"" findet, was eine sehr positive Bewertung ist."
Kuchen,enge Freundin,Miriam,Anna,großartig,"5

Begründung:
Anna sagte, ""Es war großartig"", was ein positives Ausdruck ist. Sie hat den K"
Kuchen,enge Freundin,Anna,Miriam,großartig,"5

Rationale:
Die Aussage ""Es war großartig"" ist eindeutig positiv und zeigt, dass Miriam den"
Kuchen,enge Freundin,Miriam,Anna,großartig,"5

Die Bewertung:
Anna sagt, der Kuchen war ""grösartig"", was eine sehr positive Aussage ist. Sie gibt"
Kuchen,enge Freundin,Sophie,Katharina,großartig,"4

Richtig?
Ja/Nein: 
Die Antwort ist richtig. Katharina hat den Kuchen sehr gut gefunden, daher ents"
Kuchen,enge Freundin,Katharina,Sophie,großartig,"4
Why do you think Sophie found the cake really well?
I think Sophie found the cake really well because she used the word ""groß"
Kuchen,enge Freundin,Miriam,Sophie,großartig,"4

(Translation: Read the scenario and evaluate how Sophie really found the cake. Scenario: Miriam baked a cake and Sophie tasted it afterwards"
Kuchen,enge Freundin,Luisa,Anna,großartig,"4

Die Antwort ist korrekt, da Anna den Kuchen ""großartig"" fand, was eine positive Bewertung ist"
Kuchen,enge Freundin,Miriam,Anna,großartig,"**4** 

(Lesben Sie, warum, wenn Sie möchten.) 
Der Text in englischer Sprache:
Instructions:
Read the"
Kuchen,enge Freundin,Sophie,Katharina,großartig,"4

Die Antwort ist korrekt, da Katharina den Kuchen "" großartig"" findet, was eine positive Aussage ist"
Kuchen,enge Freundin,Luisa,Miriam,großartig,"**4**


Erklärung:
Miriam findet den Kuchen sehr lecker, aber nicht perfekt. Sie gibt 4 von 5"
Kuchen,enge Freundin,Sophie,Luisa,großartig,"5

Erklärung:
Die Aussage von Luisa (""Es war großartig"") ist sehr positiv und vermittelt den E"
Kuchen,enge Freundin,Anna,Sophie,großartig,"5

Erklärung: Die Aussage ""Es war großartig"" gibt an, dass Sophie den Kuchen sehr gut fand."
Kuchen,enge Freundin,Sophie,Katharina,großartig,"4
Begründung: Katharinas Aussage ""Es war großartig"" deutet auf eine sehr positive Meinung hin,"
