param,model,llm,role,relationship,map,mean,hdi_low,hdi_high
phi,pRRSAc(A),Qwen3,listener,enge Freundin,0.149,0.499,0.082,1.0
phi,pRRSAc(C),Qwen3,listener,enge Freundin,0.223,0.207,0.065,0.345
phi,pRRSAc(A),Qwen3,speaker,enge Freundin,0.531,0.531,0.257,0.778
phi,pRRSAc(C),Qwen3,speaker,enge Freundin,0.901,0.835,0.6,1.0
phi,pRRSAc(A),LLaMA3,listener,enge Freundin,0.872,0.639,0.068,0.973
phi,pRRSAc(C),LLaMA3,listener,enge Freundin,0.88,0.806,0.543,1.0
phi,pRRSAc(A),LLaMA3,speaker,enge Freundin,0.947,0.939,0.907,0.962
phi,pRRSAc(C),LLaMA3,speaker,enge Freundin,0.843,0.725,0.429,0.952
phi,pRRSAc(A),Qwen3,listener,entfernte Kollegin,0.137,0.412,0.055,0.825
phi,pRRSAc(C),Qwen3,listener,entfernte Kollegin,0.223,0.208,0.065,0.348
phi,pRRSAc(A),Qwen3,speaker,entfernte Kollegin,0.549,0.545,0.273,0.789
phi,pRRSAc(C),Qwen3,speaker,entfernte Kollegin,0.885,0.822,0.588,1.0
phi,pRRSAc(A),LLaMA3,listener,entfernte Kollegin,0.95,0.697,0.114,1.0
phi,pRRSAc(C),LLaMA3,listener,entfernte Kollegin,0.972,0.876,0.605,1.0
phi,pRRSAc(A),LLaMA3,speaker,entfernte Kollegin,0.931,0.92,0.882,0.946
phi,pRRSAc(C),LLaMA3,speaker,entfernte Kollegin,0.796,0.708,0.424,0.935
phi,pRRSAc(A),Qwen3,listener,lockere Chefin,0.121,0.346,0.045,0.685
phi,pRRSAc(C),Qwen3,listener,lockere Chefin,0.203,0.205,0.058,0.335
phi,pRRSAc(A),Qwen3,speaker,lockere Chefin,0.72,0.678,0.415,0.878
phi,pRRSAc(C),Qwen3,speaker,lockere Chefin,0.967,0.868,0.625,1.0
phi,pRRSAc(A),LLaMA3,listener,lockere Chefin,0.9,0.66,0.097,1.0
phi,pRRSAc(C),LLaMA3,listener,lockere Chefin,0.884,0.815,0.55,1.0
phi,pRRSAc(A),LLaMA3,speaker,lockere Chefin,0.965,0.96,0.934,0.981
phi,pRRSAc(C),LLaMA3,speaker,lockere Chefin,0.887,0.75,0.433,0.97
phi,pRRSAc(A),Qwen3,listener,gefürchtete Chefin,0.151,0.37,0.058,0.707
phi,pRRSAc(C),Qwen3,listener,gefürchtete Chefin,0.233,0.21,0.066,0.352
phi,pRRSAc(A),Qwen3,speaker,gefürchtete Chefin,0.751,0.688,0.398,0.944
phi,pRRSAc(C),Qwen3,speaker,gefürchtete Chefin,0.935,0.848,0.605,1.0
phi,pRRSAc(A),LLaMA3,listener,gefürchtete Chefin,0.77,0.57,0.066,0.866
phi,pRRSAc(C),LLaMA3,listener,gefürchtete Chefin,0.811,0.766,0.507,0.983
