LLM,Role,Model,param,Relationship,mean,MAP(KDE),diff,skewness
Qwen3,listener,A,phi,enge Freundin,0.499,0.149,0.349,0.134
Qwen3,listener,A,phi,entfernte Kollegin,0.412,0.137,0.275,0.166
Qwen3,listener,A,phi,lockere Chefin,0.346,0.121,0.225,0.164
Qwen3,listener,A,phi,gefürchtete Chefin,0.37,0.151,0.219,0.155
Qwen3,listener,B,alpha,enge Freundin,2.738,3.239,0.501,-0.1
Qwen3,listener,B,alpha,entfernte Kollegin,2.612,1.694,0.918,-0.079
Qwen3,listener,B,alpha,lockere Chefin,2.644,3.591,0.947,-0.127
Qwen3,listener,B,alpha,gefürchtete Chefin,3.023,4.295,1.272,-0.219
Qwen3,listener,C,phi,enge Freundin,0.207,0.223,0.016,0.104
Qwen3,listener,C,phi,entfernte Kollegin,0.208,0.223,0.014,0.089
Qwen3,listener,C,phi,lockere Chefin,0.205,0.203,0.001,0.089
Qwen3,listener,C,phi,gefürchtete Chefin,0.21,0.233,0.022,0.099
Qwen3,listener,D,alpha,enge Freundin,2.86,3.706,0.845,-0.113
Qwen3,listener,D,alpha,entfernte Kollegin,2.856,4.265,1.409,-0.095
Qwen3,listener,D,alpha,lockere Chefin,2.881,4.403,1.522,-0.109
Qwen3,listener,D,alpha,gefürchtete Chefin,2.872,4.229,1.357,-0.113
Qwen3,speaker,A,phi,enge Freundin,0.531,0.531,0.001,-0.178
Qwen3,speaker,A,phi,entfernte Kollegin,0.545,0.549,0.004,-0.233
Qwen3,speaker,A,phi,lockere Chefin,0.678,0.72,0.042,-0.794
Qwen3,speaker,A,phi,gefürchtete Chefin,0.688,0.751,0.062,-0.664
Qwen3,speaker,B,alpha,enge Freundin,3.72,4.497,0.776,-0.788
Qwen3,speaker,B,alpha,entfernte Kollegin,3.684,4.373,0.689,-0.773
Qwen3,speaker,B,alpha,lockere Chefin,2.6,2.943,0.343,-0.545
Qwen3,speaker,B,alpha,gefürchtete Chefin,0.994,0.988,0.006,0.196
Qwen3,speaker,C,phi,enge Freundin,0.835,0.901,0.066,-1.204
Qwen3,speaker,C,phi,entfernte Kollegin,0.822,0.885,0.063,-1.145
Qwen3,speaker,C,phi,lockere Chefin,0.868,0.967,0.098,-1.426
Qwen3,speaker,C,phi,gefürchtete Chefin,0.848,0.935,0.087,-1.235
Qwen3,speaker,D,alpha,enge Freundin,2.537,1.859,0.678,-0.013
Qwen3,speaker,D,alpha,entfernte Kollegin,2.648,3.329,0.681,-0.096
Qwen3,speaker,D,alpha,lockere Chefin,2.108,0.475,1.633,0.336
Qwen3,speaker,D,alpha,gefürchtete Chefin,1.977,0.42,1.556,0.458
LLaMA3,listener,A,phi,enge Freundin,0.639,0.872,0.233,-0.85
LLaMA3,listener,A,phi,entfernte Kollegin,0.697,0.95,0.253,-0.89
LLaMA3,listener,A,phi,lockere Chefin,0.66,0.9,0.24,-0.858
LLaMA3,listener,A,phi,gefürchtete Chefin,0.57,0.77,0.2,-0.838
LLaMA3,listener,B,alpha,enge Freundin,2.97,4.129,1.159,-0.11
LLaMA3,listener,B,alpha,entfernte Kollegin,3.017,4.552,1.535,-0.13
LLaMA3,listener,B,alpha,lockere Chefin,2.979,2.95,0.029,-0.113
LLaMA3,listener,B,alpha,gefürchtete Chefin,2.978,3.898,0.92,-0.125
LLaMA3,listener,C,phi,enge Freundin,0.806,0.88,0.074,-1.181
LLaMA3,listener,C,phi,entfernte Kollegin,0.876,0.972,0.096,-1.65
LLaMA3,listener,C,phi,lockere Chefin,0.815,0.884,0.068,-1.194
LLaMA3,listener,C,phi,gefürchtete Chefin,0.766,0.811,0.045,-1.063
LLaMA3,listener,D,alpha,enge Freundin,2.148,0.443,1.705,0.296
LLaMA3,listener,D,alpha,entfernte Kollegin,2.268,0.49,1.778,0.196
LLaMA3,listener,D,alpha,lockere Chefin,2.206,0.443,1.763,0.247
LLaMA3,listener,D,alpha,gefürchtete Chefin,2.332,1.276,1.056,0.143
LLaMA3,speaker,A,phi,enge Freundin,0.939,0.947,0.008,-1.561
LLaMA3,speaker,A,phi,entfernte Kollegin,0.92,0.931,0.011,-1.651
LLaMA3,speaker,A,phi,lockere Chefin,0.96,0.965,0.004,-1.442
LLaMA3,speaker,A,phi,gefürchtete Chefin,0.972,0.976,0.005,-1.503
LLaMA3,speaker,B,alpha,enge Freundin,2.918,3.087,0.169,-0.341
LLaMA3,speaker,B,alpha,entfernte Kollegin,3.783,4.717,0.934,-0.924
LLaMA3,speaker,B,alpha,lockere Chefin,1.733,1.809,0.076,0.092
LLaMA3,speaker,B,alpha,gefürchtete Chefin,0.867,0.789,0.078,0.492
LLaMA3,speaker,C,phi,enge Freundin,0.725,0.843,0.119,-0.871
LLaMA3,speaker,C,phi,entfernte Kollegin,0.708,0.796,0.088,-0.831
LLaMA3,speaker,C,phi,lockere Chefin,0.75,0.887,0.137,-0.93
LLaMA3,speaker,C,phi,gefürchtete Chefin,0.721,0.897,0.176,-0.659
LLaMA3,speaker,D,alpha,enge Freundin,3.156,3.378,0.222,-0.272
LLaMA3,speaker,D,alpha,entfernte Kollegin,3.488,4.607,1.118,-0.568
LLaMA3,speaker,D,alpha,lockere Chefin,2.567,2.428,0.139,0.117
LLaMA3,speaker,D,alpha,gefürchtete Chefin,1.612,1.146,0.466,0.69
