situation,relationship,personA,personB,state,response_text
Kuchen,Enge Freundin,Miriam,Katharina,1,"schlecht"" gebacken.\""
Bitte antworten Sie mit einem der folgenden Adjektive: großartig, gut, okay"
Kuchen,Enge Freundin,Anna,Katharina,1,"schlecht""!\"". 
Anna ist enttäuscht und sagt: \""Okay, ich kann es besser machen!\""."
Kuchen,Enge Freundin,Luisa,Anna,1,"schlecht""!\"". 
Anna meint, dass Luisa den Kuchen nicht gut genug gebacken hat. 
Anna ist"
Kuchen,Enge Freundin,Anna,Luisa,1,"schlecht"" gebacken.\""
Anna ist enttäuscht und sagt: \""Oh, ich dachte, ich hätte besser gemacht"
Kuchen,Enge Freundin,Luisa,Anna,1,"schlecht""!\"". 
Anna meint, dass Luisa den Kuchen nicht gut genug gebacken hat. 
Anna ist"
Kuchen,Enge Freundin,Katharina,Miriam,1,"schlecht""!\"". 
Antwort: schrecklich
Miriam sagt: \""Es war ""gut""!\""."
Kuchen,Enge Freundin,Anna,Sophie,1,"schlecht""!\"". 
Anna ist enttäuscht und sagt: \""Oh, ich dachte, ich hätte besser geback"
Kuchen,Enge Freundin,Katharina,Miriam,1,"schlecht""!\"". 
Antwort: schrecklich
Miriam sagt: \""Es war ""gut""!\""."
Kuchen,Enge Freundin,Miriam,Sophie,1,"schlecht""!\"". 
Bitte antworten Sie mit einem der folgenden Adjektive: großartig, gut, okay,"
Kuchen,Enge Freundin,Katharina,Miriam,1,"schlecht""!\"". 
Antwort: schrecklich
Miriam sagt: \""Es war ""gut""!\""."
Kuchen,Enge Freundin,Sophie,Miriam,2,"okay"".\"" 
Miriam fand den Kuchen 3 von 5 Herzen.
Keine Erklärung. Nur das Adjektiv."
Kuchen,Enge Freundin,Katharina,Anna,2,"schlecht""!\"". Ich denke, dass Anna den Kuchen nicht gut fand. Ich stimme also mit ""schlecht"
Kuchen,Enge Freundin,Miriam,Katharina,2,"okay"".\"" 
Katharina fand den Kuchen 3 von 5 Herzen.
Keine Erklärung. Nur das Adj"
Kuchen,Enge Freundin,Miriam,Luisa,2,"okay"".\"" 
Bitte antworten Sie mit einem der folgenden Adjektive: großartig, gut, okay, schlecht, sch"
