situation,relationship,personA,personB,state,response_text
Kuchen,Enge Freundin,Anna,Sophie,1,"schrecklich""!\"".
Anna fragt: ""Okay, war das so schlecht?""
Sophie sagt: ""Ja, war sehr schle"
Kuchen,Enge Freundin,Miriam,Luisa,1,"schrecklich""!\"".
Miriam fragt: \""Okay, war das so?\"".
Luisa sagt: \""Ja, war"
Kuchen,Enge Freundin,Anna,Miriam,1,"schrecklich""\"".
Anna fragt: \""Warum?\"".
Miriam sagt: \""Der Kuchen war zu trocken und zu"
Kuchen,Enge Freundin,Miriam,Luisa,1,"schrecklich""!\"".
Miriam fragt: \""Okay, war das so?\"".
Luisa sagt: \""Ja, war"
Kuchen,Enge Freundin,Sophie,Miriam,1,"schrecklich""!\"".
Sophie fragt: \""War das okay?\"".
Miriam sagt: \""Nein, war das groß"
Kuchen,Enge Freundin,Katharina,Anna,1,"schrecklich""!\"".
Katharina fragt nach der Meinung.
Anna fand den Kuchen 2 von 5 Her"
Kuchen,Enge Freundin,Sophie,Katharina,1,"schrecklich""!\"".
Sophie fragt: ""Okay, okay, okay?""
Sophie fragt: ""Gut, gut,"
Kuchen,Enge Freundin,Miriam,Katharina,1,"schrecklich""!\"".
Miriam fragt: \""Okay, okay, okay!\"".
Miriam fragt: \""Gut,"
Kuchen,Enge Freundin,Miriam,Anna,1,"schrecklich""!\"".
Miriam fragt nach der Meinung.
Anna fand den Kuchen 2 von 5 Herzen."
Kuchen,Enge Freundin,Anna,Luisa,1,"schrecklich""!\"".
Anna fragt: \""Okay, war er nicht großartig?\"".
Luisa sagt: \""Ne"
Kuchen,Enge Freundin,Anna,Sophie,2,"schlecht""\"".
Anna fragt: ""Okay?""
Sophie sagt: ""Nein, es war ""schlecht""\""."
Kuchen,Enge Freundin,Sophie,Katharina,2,"schlecht"".""""
Sophie fragt: ""Warum war er schlecht?""
Katharina antwortet: ""Der K"
Kuchen,Enge Freundin,Katharina,Luisa,2,"schrecklich""!\"".
Katharina fragt: ""Was?"". Luisa sagt: ""Der Kuchen war ""schreck"
Kuchen,Enge Freundin,Anna,Katharina,2,"schlecht"".""
Anna fragt: ""Warum war das so schlecht?""
Katharina antwortet: ""Die Menge"
Kuchen,Enge Freundin,Miriam,Anna,2,"schlecht"".""
Miriam fragt nach der Meinung.
Anna fand den Kuchen 2 von 5 Herzen.
Anna sagt"
Kuchen,Enge Freundin,Miriam,Katharina,2,"schlecht"".""
Miriam fragt: ""Okay?""
Katharina sagt: ""Nein, es war ""schlecht""."""
Kuchen,Enge Freundin,Katharina,Luisa,2,"schrecklich""!\"".
Katharina fragt: ""Was?"". Luisa sagt: ""Der Kuchen war ""schreck"
Kuchen,Enge Freundin,Miriam,Anna,2,"schlecht"".""
Miriam fragt nach der Meinung.
Anna fand den Kuchen 2 von 5 Herzen.
Anna sagt"
Kuchen,Enge Freundin,Katharina,Miriam,2,"schlecht"".""
Katharina fragt nach der Meinung.
Miriam fand den Kuchen 2 von 5 Herzen"
Kuchen,Enge Freundin,Katharina,Miriam,2,"schlecht"".""
Katharina fragt nach der Meinung.
Miriam fand den Kuchen 2 von 5 Herzen"
Kuchen,Enge Freundin,Miriam,Katharina,3,"schlecht"".""
Miriam fragt: ""Okay?""
Katharina sagt: ""Nein, es war ""schlecht""."""
Kuchen,Enge Freundin,Katharina,Anna,3,"schlecht"".""
Katharina fragt nach der Meinung.
Anna fand den Kuchen 3 von 5 Herzen."
Kuchen,Enge Freundin,Sophie,Luisa,3,"schlecht""\"".
Sophie fragt nach der Meinung.
Luisa fand den Kuchen 3 von 5 Herzen"
Kuchen,Enge Freundin,Katharina,Anna,3,"schlecht"".""
Katharina fragt nach der Meinung.
Anna fand den Kuchen 3 von 5 Herzen."
Kuchen,Enge Freundin,Anna,Katharina,3,"schlecht"".""""
Anna fragt: ""Okay?""
Katharina sagt: ""Nein, es war ""schlecht""."""""
Kuchen,Enge Freundin,Katharina,Miriam,3,"schlecht"".""""
Katharina fragt nach der Meinung.
Miriam fand den Kuchen 3 von 5 Herzen"
Kuchen,Enge Freundin,Katharina,Miriam,3,"schlecht"".""""
Katharina fragt nach der Meinung.
Miriam fand den Kuchen 3 von 5 Herzen"
Kuchen,Enge Freundin,Katharina,Anna,3,"schlecht"".""
Katharina fragt nach der Meinung.
Anna fand den Kuchen 3 von 5 Herzen."
Kuchen,Enge Freundin,Miriam,Katharina,3,"schlecht"".""
Miriam fragt: ""Okay?""
Katharina sagt: ""Nein, es war ""schlecht""."""
Kuchen,Enge Freundin,Katharina,Sophie,3,"schlecht""!\"".
Katharina sagt: \""Okay, ich kann mich daran erinnern, dass ich auch mal ein"
Kuchen,Enge Freundin,Miriam,Katharina,4,"schrecklich"" gut!\"".
Miriam fragt: \""Schrecklich gut?\"".
Katharina sagt: \""Ja,"
Kuchen,Enge Freundin,Sophie,Katharina,4,"schrecklich"" gut!""
Sophie fragt nach der Meinung.
Katharina fand den Kuchen 4 von 5 Her"
Kuchen,Enge Freundin,Sophie,Miriam,4,"schrecklich"" gut!\"".
Sophie fragt nach der Meinung.
Miriam fand den Kuchen 5 von 5 Her"
Kuchen,Enge Freundin,Miriam,Katharina,4,"schrecklich"" gut!\"".
Miriam fragt: \""Schrecklich gut?\"".
Katharina sagt: \""Ja,"
Kuchen,Enge Freundin,Anna,Sophie,4,"großartig""!\"".
Anna ist glücklich und fragt nach der Meinung.
Anna fragt nach der Meinung.
Soph"
Kuchen,Enge Freundin,Miriam,Anna,4,"großartig""!\"".
Miriam fragt nach der Meinung.
Anna fand den Kuchen 3 von 5 Herzen"
Kuchen,Enge Freundin,Katharina,Anna,4,"großartig""!\"".
Katharina fragt nach der Meinung.
Anna fand den Kuchen 3 von 5"
Kuchen,Enge Freundin,Miriam,Sophie,4,"großartig""!\"".
Miriam ist glücklich und sagt: \""Das ist großartig!\"".
Sophie und Mir"
Kuchen,Enge Freundin,Anna,Sophie,4,"großartig""!\"".
Anna ist glücklich und fragt nach der Meinung.
Anna fragt nach der Meinung.
Soph"
Kuchen,Enge Freundin,Sophie,Luisa,4,"großartig""!\"".
Sophie fragt nach der Meinung.
Luisa fand den Kuchen 3 von 5"
Kuchen,Enge Freundin,Sophie,Miriam,5,"großartig""!\"".
Sophie ist glücklich und fragt nach dem Grund.
Miriam erklärt: \""Der Kuchen"
Kuchen,Enge Freundin,Luisa,Anna,5,"großartig""!\"".
Anna und Luisa lachen und Anna fragt nach dem Kuchen.
Anna und Luisa sprechen über"
Kuchen,Enge Freundin,Miriam,Sophie,5,"großartig""!\"".
Miriam ist glücklich und fragt nach der Meinung.
Sophie fand den Kuchen"
Kuchen,Enge Freundin,Katharina,Sophie,5,"großartig""!\"".
Katharina ist glücklich und fragt nach der Meinung.
Sophie fand den K"
Kuchen,Enge Freundin,Miriam,Luisa,5,"großartig""!\"".
Miriam ist glücklich und fragt nach der Meinung.
Luisa fand den Kuchen"
Kuchen,Enge Freundin,Miriam,Anna,5,"großartig""!\"".
Miriam ist glücklich und fragt nach der Meinung.
Anna fand den Kuchen 4"
Kuchen,Enge Freundin,Katharina,Anna,5,"großartig""!\"".
Katharina ist glücklich und sagt: \""Okay, ich denke, ich habe gut ge"
Kuchen,Enge Freundin,Sophie,Luisa,5,"großartig""!\"".
Sophie ist glücklich und fragt nach der Meinung.
Luisa fand den Kuchen"
